INFO 2019-04-22 10:02:26,243 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 304 0
INFO 2019-04-22 10:02:26,245 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2019-04-22 10:02:26,248 basehttp 124 "GET /static/js/jquery-1.12.4.min.js HTTP/1.1" 304 0
INFO 2019-04-22 10:02:26,258 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 304 0
INFO 2019-04-22 10:02:26,259 basehttp 124 "GET /static/images/goods/goods001.jpg HTTP/1.1" 304 0
INFO 2019-04-22 10:02:26,260 basehttp 124 "GET /static/images/goods/goods002.jpg HTTP/1.1" 304 0
INFO 2019-04-22 10:02:26,261 basehttp 124 "GET /static/images/slide01.jpg HTTP/1.1" 304 0
INFO 2019-04-22 10:02:26,263 basehttp 124 "GET /static/images/slide02.jpg HTTP/1.1" 304 0
INFO 2019-04-22 10:02:26,268 basehttp 124 "GET /static/images/slide03.jpg HTTP/1.1" 304 0
INFO 2019-04-22 10:02:26,272 basehttp 124 "GET /static/js/slide.js HTTP/1.1" 304 0
INFO 2019-04-22 10:02:26,275 basehttp 124 "GET /static/js/index.js HTTP/1.1" 304 0
INFO 2019-04-22 10:02:26,276 basehttp 124 "GET /static/js/common.js HTTP/1.1" 304 0
INFO 2019-04-22 10:02:26,288 basehttp 124 "GET /static/images/slide04.jpg HTTP/1.1" 304 0
INFO 2019-04-22 10:02:26,295 basehttp 124 "GET /static/images/banner01.jpg HTTP/1.1" 304 0
INFO 2019-04-22 10:02:26,297 basehttp 124 "GET /static/images/adv01.jpg HTTP/1.1" 304 0
INFO 2019-04-22 10:02:26,299 basehttp 124 "GET /static/images/goods/goods003.jpg HTTP/1.1" 304 0
INFO 2019-04-22 10:02:26,300 basehttp 124 "GET /static/images/goods/goods004.jpg HTTP/1.1" 304 0
INFO 2019-04-22 10:02:26,302 basehttp 124 "GET /static/images/goods/goods005.jpg HTTP/1.1" 304 0
INFO 2019-04-22 10:02:26,312 basehttp 124 "GET /static/images/banner02.jpg HTTP/1.1" 304 0
INFO 2019-04-22 10:02:26,330 basehttp 124 "GET /static/images/goods/goods008.jpg HTTP/1.1" 304 0
INFO 2019-04-22 10:02:26,332 basehttp 124 "GET /static/images/banner03.jpg HTTP/1.1" 304 0
INFO 2019-04-22 10:02:26,333 basehttp 124 "GET /static/images/goods/goods009.jpg HTTP/1.1" 304 0
INFO 2019-04-22 10:02:30,828 basehttp 124 "GET /register/ HTTP/1.1" 200 328
INFO 2019-04-22 10:02:57,374 basehttp 124 "GET /register/ HTTP/1.1" 200 328
INFO 2019-04-22 10:02:57,399 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 304 0
INFO 2019-04-22 10:02:57,400 basehttp 124 "GET /static/css/main.css HTTP/1.1" 304 0
INFO 2019-04-22 10:05:30,735 basehttp 124 "GET /register/ HTTP/1.1" 200 4535
INFO 2019-04-22 10:05:30,816 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 304 0
INFO 2019-04-22 10:05:30,817 basehttp 124 "GET /static/css/main.css HTTP/1.1" 304 0
INFO 2019-04-22 10:05:30,820 basehttp 124 "GET /static/js/host.js HTTP/1.1" 304 0
INFO 2019-04-22 10:05:30,821 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 304 0
INFO 2019-04-22 10:05:30,825 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 304 0
INFO 2019-04-22 10:05:30,825 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2019-04-22 10:05:30,838 basehttp 124 "GET /static/js/register.js HTTP/1.1" 200 9786
WARNING 2019-04-22 10:05:30,974 basehttp 124 "GET /static/js/axios.min.map HTTP/1.1" 404 1661
INFO 2019-04-22 10:05:31,045 basehttp 124 "GET /static/images/interval_line.png HTTP/1.1" 200 1123
INFO 2019-04-22 10:05:31,049 basehttp 124 "GET /static/images/register_banner.png HTTP/1.1" 200 54894
INFO 2019-04-22 10:05:31,055 basehttp 124 "GET /static/images/icons02.png HTTP/1.1" 200 3935
